Id,Predicted
0,THE COMPANY ALSO DONATED SIXTY THOUSAND DOLLARS TO A LOCAL ENVIRONMENTAL GROUP TO HIRE SPECIALIST TO AVAILUATES TO COMPANY'S PLANS TO CLEAN UP CONTAMINATED SITES
8,THE AVERAGE MARKET DECLINED FOR THE SUBSEQUENT QUARTER IN THOSE CASES WAS ABOUT SEVEN PERCENT PERIOD
14,DOUBLE-QUOTE WE'RE NOT CALLING FOR MANDATORY TESTING IN ANY SHAPE OR FORM PERIOD DOUBLE-QUOTE
46,HE MADE A SALES CALL HE SAYS
82,NOW C. BUT IS TRYING TO MAKE AMENDS
83,AND SHORTLY AFTER THE ACQUISITION COMMA OIL PRICES STARTED TO SLIDE PERIOD
87,THEY GIVING THE SHARE COMMA AS SALES TAXES CAN'T BE DEDUCTIBLE PERIOD
132,NOBODY KNOWS HOW THE SOUTH AFRICAN GOVERNMENT WILL REACT
148,WE WERE GENTLEMEN ABOUT IT PERIOD
149,U. S. EXPORT ROSE IN THE MONTH BUT NO NEARLY AS MUCH AS IMPORTS
158,NUMEROUS WORKS OF ART ARE BASED ON THE STORY OF THE SACRIFICE OF ISAAC
161,BUT THE BOSS WON'T GIVE UP PERIOD
175,THE COMPANY SAID THE GROUP'S DOMESTIC INTERNATIONAL OPERATIONS WILL BE SOLD SEPARATELY
243,ABOUT ONE POINT FIVE BILLION DOLLARS OF DEBT IS UNDER REVIEW
255,THE WORRIES ARE OF TWO KINDS
271,AT LEAST TWO HUNDRED EIGHTY THOUSAND IS NOW FIX THINGS ON THEIR OWN PERIOD
334,FOR MANY JAPANESE COMPANIES IT WAS THE FIRST TIME IN A AMERICAN INVESTORS SAYS MR. EIRENT


